epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2816,0.95447,2.83469,1.11791,0.00517,0.96875,0.64432,0.49776,0.87688,2.85616,1.03398,0.00012,0.00012,0.00012
2,14.5703,1.10273,1.92337,1.1814,1,0.29058,0.6451,0.44955,1.08724,2.69073,1.19659,0.000254852,0.000254852,0.000254852
3,19.3538,0.97752,1.48686,1.0768,1,0.41028,0.73604,0.48247,1.24317,2.61454,1.22315,0.00038416,0.00038416,0.00038416
4,22.5165,1.04883,1.32363,1.07351,0.9523,0.312,0.68457,0.44655,1.27077,2.7255,1.3065,0.000507924,0.000507924,0.000507924
5,26.2152,1.06408,1.31478,1.12147,1,0.43061,0.66476,0.45934,1.34806,2.53058,1.33632,0.000626144,0.000626144,0.000626144
6,30.2968,1.00907,1.22288,1.09978,1,0.38891,0.60361,0.38067,1.52187,2.63379,1.47229,0.00073882,0.00073882,0.00073882
7,34.339,1.03127,1.24571,1.1194,0.93863,0.47807,0.62699,0.35424,1.66249,2.66232,1.61858,0.000845952,0.000845952,0.000845952
8,37.6479,1.10335,1.28715,1.15743,0.88365,0.59335,0.71503,0.43182,1.5452,2.31227,1.50004,0.00094754,0.00094754,0.00094754
9,40.933,1.04741,1.29927,1.15349,0.92909,0.51562,0.72428,0.40403,1.65184,2.46279,1.62163,0.00104358,0.00104358,0.00104358
10,45.9406,1.00052,1.2784,1.10871,0.83005,0.45798,0.62715,0.37568,1.67432,2.51081,1.63923,0.00113408,0.00113408,0.00113408
11,49.4681,0.97162,1.14955,1.10582,0.80077,0.54688,0.64076,0.38114,1.56112,1.96277,1.54899,0.00121904,0.00121904,0.00121904
12,52.7327,1.00185,1.25488,1.11063,0.83462,0.53125,0.63707,0.38329,1.72105,1.88788,1.72239,0.00129845,0.00129845,0.00129845
13,56.2409,1.10977,1.26571,1.18197,0.78433,0.60938,0.67156,0.43237,1.53718,1.70078,1.59589,0.00137232,0.00137232,0.00137232
14,61.0704,1.02418,1.15442,1.12577,0.77796,0.57812,0.67232,0.44363,1.39906,1.53935,1.34046,0.00144064,0.00144064,0.00144064
15,64.8004,1.04758,1.10893,1.12392,0.672,0.51224,0.55587,0.3657,1.5144,1.74688,1.46518,0.0014456,0.0014456,0.0014456
16,68.0617,1.0074,1.14515,1.09788,0.76715,0.56632,0.63854,0.42014,1.43,1.60912,1.46596,0.001406,0.001406,0.001406
17,72.0888,1.00224,1.09531,1.08361,0.66899,0.63164,0.62136,0.38985,1.528,1.62413,1.59541,0.0013664,0.0013664,0.0013664
18,76.5489,1.0355,1.15709,1.10588,0.79417,0.60295,0.68361,0.3775,1.53821,1.48142,1.56484,0.0013268,0.0013268,0.0013268
19,79.8487,0.98561,1.07146,1.07619,0.94909,0.59375,0.71957,0.40945,1.60963,1.47457,1.66893,0.0012872,0.0012872,0.0012872
20,83.1694,0.99643,1.12175,1.09636,0.81516,0.62025,0.68376,0.43342,1.58786,1.55695,1.612,0.0012476,0.0012476,0.0012476
21,87.525,0.98398,1.08064,1.11726,0.86869,0.62029,0.6949,0.42507,1.62046,1.50147,1.62835,0.001208,0.001208,0.001208
22,91.51,0.92851,1.00292,1.0537,0.86587,0.70312,0.75942,0.4509,1.43868,1.36865,1.43304,0.0011684,0.0011684,0.0011684
23,94.7779,0.95715,1.00104,1.10611,0.85463,0.64304,0.75152,0.48462,1.33433,1.28211,1.37529,0.0011288,0.0011288,0.0011288
24,98.2174,0.9211,0.95055,1.07706,0.85393,0.59375,0.70798,0.42948,1.52742,1.37725,1.53855,0.0010892,0.0010892,0.0010892
25,103.226,0.84908,0.87014,1.02315,0.80119,0.60938,0.70217,0.40705,1.5956,1.41614,1.62909,0.0010496,0.0010496,0.0010496
26,106.504,0.92793,0.91103,1.08798,0.82524,0.67188,0.74912,0.50299,1.40284,1.2495,1.47916,0.00101,0.00101,0.00101
27,109.884,0.89155,0.88288,1.02511,0.89105,0.65625,0.74774,0.51286,1.41878,1.21394,1.46668,0.0009704,0.0009704,0.0009704
28,113.312,0.91054,0.92392,1.10203,0.87807,0.6875,0.76514,0.49809,1.50801,1.14134,1.54856,0.0009308,0.0009308,0.0009308
29,118.168,0.8529,0.89482,1.04139,0.75122,0.67188,0.72829,0.47676,1.46743,1.24377,1.5455,0.0008912,0.0008912,0.0008912
30,121.672,0.85576,0.88057,1.01379,0.83483,0.60938,0.69694,0.48589,1.39703,1.2083,1.44782,0.0008516,0.0008516,0.0008516
31,124.947,0.79997,0.81073,1.02075,0.8187,0.70564,0.77145,0.53272,1.29615,1.12802,1.37773,0.000812,0.000812,0.000812
32,129.253,0.88049,0.83834,1.03048,0.83501,0.67188,0.78436,0.53331,1.23563,1.13662,1.30766,0.0007724,0.0007724,0.0007724
33,133.248,0.80927,0.83426,1.04018,0.82972,0.71875,0.77933,0.55771,1.20291,1.1754,1.26682,0.0007328,0.0007328,0.0007328
34,136.707,0.8007,0.78637,1.0369,0.89247,0.64848,0.75186,0.52649,1.2408,1.2599,1.29792,0.0006932,0.0006932,0.0006932
35,140.209,0.84553,0.81002,1.0454,1,0.56196,0.70771,0.46389,1.40512,1.47967,1.41206,0.0006536,0.0006536,0.0006536
36,144.787,0.77992,0.75128,1.01496,0.90945,0.64062,0.73083,0.4851,1.35641,1.41341,1.39433,0.000614,0.000614,0.000614
37,148.365,0.7864,0.78979,1.03347,0.9205,0.64062,0.7591,0.52366,1.28429,1.31971,1.36061,0.0005744,0.0005744,0.0005744
38,151.762,0.78158,0.77285,0.99764,0.83482,0.73438,0.79513,0.54119,1.29484,1.20032,1.38227,0.0005348,0.0005348,0.0005348
39,155.088,0.79861,0.76658,1.01356,0.89476,0.70312,0.79887,0.5542,1.30858,1.19745,1.36718,0.0004952,0.0004952,0.0004952
40,160.133,0.73893,0.73826,1.00235,0.93381,0.66135,0.75485,0.54731,1.2604,1.29906,1.36375,0.0004556,0.0004556,0.0004556
41,166.96,0.64927,0.72195,0.89236,0.97715,0.6681,0.73883,0.53833,1.2245,1.31172,1.32364,0.000416,0.000416,0.000416
42,171.192,0.64263,0.70876,0.92927,0.92122,0.6875,0.72909,0.52377,1.20339,1.34534,1.30064,0.0003764,0.0003764,0.0003764
43,175.615,0.59281,0.70116,0.91508,0.89699,0.70312,0.73166,0.51929,1.28326,1.37606,1.33211,0.0003368,0.0003368,0.0003368
44,178.828,0.63685,0.71736,0.93689,0.95522,0.66663,0.74355,0.52287,1.25714,1.36967,1.33776,0.0002972,0.0002972,0.0002972
45,182.133,0.57107,0.68179,0.88856,0.91435,0.66728,0.7495,0.53819,1.2405,1.32073,1.33474,0.0002576,0.0002576,0.0002576
46,186.421,0.54142,0.61016,0.89756,0.87295,0.6875,0.78707,0.56565,1.21626,1.20867,1.32382,0.000218,0.000218,0.000218
47,190.652,0.55078,0.60507,0.90077,0.87189,0.6875,0.79137,0.57084,1.23652,1.15663,1.33334,0.0001784,0.0001784,0.0001784
48,193.768,0.57607,0.6208,0.88552,0.93471,0.67105,0.79484,0.56604,1.24966,1.11268,1.33605,0.0001388,0.0001388,0.0001388
49,196.981,0.58596,0.62768,0.91136,0.92364,0.65625,0.79704,0.5682,1.24594,1.09688,1.33288,9.92e-05,9.92e-05,9.92e-05
50,201.623,0.50631,0.59283,0.88036,0.96723,0.65625,0.79903,0.56274,1.21319,1.09557,1.32381,5.96e-05,5.96e-05,5.96e-05
