epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9159,3.86743,4.04715,4.16857,0.00126,0.30986,0.00139,0.00026,3.98795,4.43372,4.12103,0.00062,0.00062,0.00062
2,35.1012,3.26878,3.62863,3.79982,0.00121,0.29577,0.0015,0.00031,4.32037,4.48628,4.12671,0.00123505,0.00123505,0.00123505
3,51.914,3.04951,3.31623,3.4828,0.00238,0.23944,0.00577,0.00078,4.21721,3.81976,4.13569,0.00182476,0.00182476,0.00182476
4,67.9223,2.91957,3.17093,3.26913,0.18975,0.23944,0.1042,0.02903,2.74029,3.30548,3.11448,0.0018812,0.0018812,0.0018812
5,84.488,2.82616,3.05337,3.16514,0.16976,0.23903,0.09018,0.02803,2.71599,9.82714,4.82745,0.0018416,0.0018416,0.0018416
6,100.712,2.7925,2.91118,3.06066,0.28372,0.25352,0.20446,0.06852,2.62221,6.78867,2.81756,0.001802,0.001802,0.001802
7,117.747,2.72302,2.84717,2.98909,0.28911,0.1831,0.1478,0.0517,2.59002,7.1148,2.82228,0.0017624,0.0017624,0.0017624
8,134.992,2.65576,2.73705,2.95634,0.34342,0.25352,0.24956,0.07524,2.33275,2.97239,2.71771,0.0017228,0.0017228,0.0017228
9,152.268,2.5975,2.72787,2.87403,0.31584,0.35211,0.22053,0.07178,2.34036,4.8294,2.80294,0.0016832,0.0016832,0.0016832
10,168.829,2.51689,2.64831,2.84993,0.2428,0.25352,0.18894,0.06942,2.18038,2.87208,2.67041,0.0016436,0.0016436,0.0016436
11,185.419,2.42089,2.53052,2.78805,0.46604,0.33803,0.35366,0.10937,2.32614,2.97098,2.76361,0.001604,0.001604,0.001604
12,201.961,2.31901,2.45495,2.68485,0.3879,0.28169,0.25594,0.09805,2.25545,2.64245,2.71351,0.0015644,0.0015644,0.0015644
13,219.567,2.26769,2.43313,2.6393,0.25528,0.35211,0.28068,0.10521,2.24564,2.65786,2.68361,0.0015248,0.0015248,0.0015248
14,237.02,2.25354,2.33971,2.64376,0.49636,0.33803,0.36767,0.15173,2.31388,2.60815,2.79198,0.0014852,0.0014852,0.0014852
15,253.413,2.2198,2.28129,2.63418,0.43821,0.4507,0.38538,0.14801,2.12095,2.30661,2.61761,0.0014456,0.0014456,0.0014456
16,269.531,2.20286,2.30231,2.63039,0.52867,0.44241,0.44579,0.15757,2.20233,2.56148,2.7131,0.001406,0.001406,0.001406
17,286.247,2.08202,2.17066,2.53609,0.56862,0.47887,0.51322,0.18143,2.18385,2.49797,2.67084,0.0013664,0.0013664,0.0013664
18,303.225,2.0578,2.18507,2.48379,0.61463,0.53918,0.53613,0.22477,2.07893,2.05636,2.55697,0.0013268,0.0013268,0.0013268
19,320.795,2.00449,2.14461,2.48164,0.54069,0.43662,0.44917,0.17898,2.09954,2.43345,2.64069,0.0012872,0.0012872,0.0012872
20,337.956,2.00385,2.13905,2.4308,0.44876,0.4507,0.42515,0.18763,2.06721,2.28822,2.56667,0.0012476,0.0012476,0.0012476
21,354.322,1.942,2.06632,2.40032,0.71787,0.53521,0.58549,0.25657,2.10179,1.98893,2.55272,0.001208,0.001208,0.001208
22,370.586,1.952,1.95969,2.38333,0.545,0.50612,0.49608,0.22059,2.10321,1.97822,2.54295,0.0011684,0.0011684,0.0011684
23,386.701,1.9265,1.92822,2.35909,0.63531,0.5493,0.5435,0.21849,2.05321,1.91559,2.50977,0.0011288,0.0011288,0.0011288
